image_name,image_path,true_class_name,predicted_class_name,correct,top1_probability,runner_up_class_name,runner_up_probability,top1_top2_margin
bridge751.jpg,data/raw/val/bridge/bridge751.jpg,bridge,bridge,True,0.7588368877298594,overpass,0.1589376551805458,0.5998992325493135
railway760.jpg,data/raw/val/railway/railway760.jpg,railway,railway,True,0.8776094293316559,bridge,0.0673990596405112,0.8102103696911447
railway738.jpg,data/raw/val/railway/railway738.jpg,railway,railway,True,0.896796159506617,bridge,0.062735538881908,0.834060620624709
railway740.jpg,data/raw/val/railway/railway740.jpg,railway,railway,True,0.8989093973853619,bridge,0.0521759696755777,0.8467334277097842
freeway721.jpg,data/raw/val/freeway/freeway721.jpg,freeway,freeway,True,0.9105049628344716,bridge,0.0438502164403082,0.8666547463941634
railway731.jpg,data/raw/val/railway/railway731.jpg,railway,railway,True,0.9124180541233722,bridge,0.0391036627841639,0.8733143913392083
freeway766.jpg,data/raw/val/freeway/freeway766.jpg,freeway,freeway,True,0.909868637852468,overpass,0.0331184655825448,0.8767501722699231
freeway783.jpg,data/raw/val/freeway/freeway783.jpg,freeway,freeway,True,0.9221298312171634,bridge,0.0386084653894239,0.8835213658277395
railway742.jpg,data/raw/val/railway/railway742.jpg,railway,railway,True,0.9173777788802628,bridge,0.0311343824679955,0.8862433964122673
railway749.jpg,data/raw/val/railway/railway749.jpg,railway,railway,True,0.9242078952370256,bridge,0.0378030617938973,0.8864048334431284
freeway723.jpg,data/raw/val/freeway/freeway723.jpg,freeway,freeway,True,0.9244061715857708,bridge,0.0328716236579665,0.8915345479278043
freeway784.jpg,data/raw/val/freeway/freeway784.jpg,freeway,freeway,True,0.9253878637707458,bridge,0.0336833485498242,0.8917045152209215
railway792.jpg,data/raw/val/railway/railway792.jpg,railway,railway,True,0.9214579638015278,freeway,0.0278292668005103,0.8936286970010174
freeway724.jpg,data/raw/val/freeway/freeway724.jpg,freeway,freeway,True,0.925182844288439,bridge,0.0299676925970023,0.8952151516914367
railway736.jpg,data/raw/val/railway/railway736.jpg,railway,railway,True,0.9262070374506112,bridge,0.0300008673429818,0.8962061701076294
overpass732.jpg,data/raw/val/overpass/overpass732.jpg,overpass,overpass,True,0.9326060940167856,bridge,0.0316512041496891,0.9009548898670965
freeway794.jpg,data/raw/val/freeway/freeway794.jpg,freeway,freeway,True,0.9312828846944674,overpass,0.0294695912473341,0.9018132934471333
overpass734.jpg,data/raw/val/overpass/overpass734.jpg,overpass,overpass,True,0.933227331239954,bridge,0.0288500652714706,0.9043772659684834
overpass798.jpg,data/raw/val/overpass/overpass798.jpg,overpass,overpass,True,0.9309493576203756,railway,0.0262151786417353,0.9047341789786403
freeway767.jpg,data/raw/val/freeway/freeway767.jpg,freeway,freeway,True,0.9308958047423443,bridge,0.0250185137446578,0.9058772909976865
