variant,image_path,image_name,true_class_name,predicted_class_name,correct,top1_class_name,top1_probability,runner_up_class_name,runner_up_probability,top1_top2_margin,true_class_probability,mask_path,color_mask_path
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/railway/railway714.jpg,railway714.jpg,railway,railway,1,railway,0.5116147398948669,bridge,0.3811972737312317,0.13041746616363525,0.5116147398948669,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway714_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway714_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/bridge/bridge751.jpg,bridge751.jpg,bridge,bridge,1,bridge,0.9058389663696288,overpass,0.0689239129424095,0.8369150534272193,0.9058389663696288,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/bridge/bridge751_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/bridge/bridge751_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/overpass/overpass798.jpg,overpass798.jpg,overpass,overpass,1,overpass,0.9125065803527832,railway,0.0351574979722499,0.8773490823805333,0.9125065803527832,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass798_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass798_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/overpass/overpass797.jpg,overpass797.jpg,overpass,overpass,1,overpass,0.9456502199172974,railway,0.0225965976715087,0.9230536222457887,0.9456502199172974,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass797_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass797_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/railway/railway701.jpg,railway701.jpg,railway,railway,1,railway,0.949241042137146,freeway,0.0225475188344717,0.9266935233026743,0.949241042137146,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway701_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway701_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/overpass/overpass703.jpg,overpass703.jpg,overpass,overpass,1,overpass,0.9569292068481444,freeway,0.0211027953773736,0.9358264114707708,0.9569292068481444,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass703_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass703_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/railway/railway710.jpg,railway710.jpg,railway,railway,1,railway,0.9558575749397278,bridge,0.0170538034290075,0.9388037715107203,0.9558575749397278,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway710_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway710_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/railway/railway795.jpg,railway795.jpg,railway,railway,1,railway,0.9570119380950928,freeway,0.016419131308794,0.9405928067862988,0.9570119380950928,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway795_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/railway/railway795_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/overpass/overpass711.jpg,overpass711.jpg,overpass,overpass,1,overpass,0.9584327340126038,freeway,0.0149553017690777,0.9434774322435261,0.9584327340126038,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass711_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass711_color_mask.png
onnx_fp32,/home/lucas/CSC3109_Project_qat/data/val 12/overpass/overpass758.jpg,overpass758.jpg,overpass,overpass,1,overpass,0.9591144919395448,railway,0.0151498364284634,0.9439646555110814,0.9591144919395448,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass758_mask.png,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_unseen_val12_masks_fullcalib_minmax_20260616/onnx_fp32/overpass/overpass758_color_mask.png
