split,class_name,class_index,image_path
train,bridge,0,data/set 12/bridge/bridge001.jpg
train,bridge,0,data/set 12/bridge/bridge002.jpg
train,bridge,0,data/set 12/bridge/bridge003.jpg
train,bridge,0,data/set 12/bridge/bridge004.jpg
train,bridge,0,data/set 12/bridge/bridge005.jpg
train,bridge,0,data/set 12/bridge/bridge006.jpg
train,bridge,0,data/set 12/bridge/bridge007.jpg
train,bridge,0,data/set 12/bridge/bridge008.jpg
train,bridge,0,data/set 12/bridge/bridge009.jpg
train,bridge,0,data/set 12/bridge/bridge010.jpg
train,bridge,0,data/set 12/bridge/bridge011.jpg
train,bridge,0,data/set 12/bridge/bridge012.jpg
train,bridge,0,data/set 12/bridge/bridge013.jpg
train,bridge,0,data/set 12/bridge/bridge014.jpg
train,bridge,0,data/set 12/bridge/bridge015.jpg
train,bridge,0,data/set 12/bridge/bridge016.jpg
train,bridge,0,data/set 12/bridge/bridge017.jpg
train,bridge,0,data/set 12/bridge/bridge018.jpg
train,bridge,0,data/set 12/bridge/bridge019.jpg
train,bridge,0,data/set 12/bridge/bridge020.jpg
train,bridge,0,data/set 12/bridge/bridge021.jpg
train,bridge,0,data/set 12/bridge/bridge022.jpg
train,bridge,0,data/set 12/bridge/bridge023.jpg
train,bridge,0,data/set 12/bridge/bridge024.jpg
train,bridge,0,data/set 12/bridge/bridge025.jpg
train,bridge,0,data/set 12/bridge/bridge026.jpg
train,bridge,0,data/set 12/bridge/bridge027.jpg
train,bridge,0,data/set 12/bridge/bridge028.jpg
train,bridge,0,data/set 12/bridge/bridge029.jpg
train,bridge,0,data/set 12/bridge/bridge030.jpg
train,bridge,0,data/set 12/bridge/bridge031.jpg
train,bridge,0,data/set 12/bridge/bridge032.jpg
train,bridge,0,data/set 12/bridge/bridge033.jpg
train,bridge,0,data/set 12/bridge/bridge034.jpg
train,bridge,0,data/set 12/bridge/bridge035.jpg
train,bridge,0,data/set 12/bridge/bridge036.jpg
train,bridge,0,data/set 12/bridge/bridge037.jpg
train,bridge,0,data/set 12/bridge/bridge038.jpg
train,bridge,0,data/set 12/bridge/bridge039.jpg
train,bridge,0,data/set 12/bridge/bridge040.jpg
train,bridge,0,data/set 12/bridge/bridge041.jpg
train,bridge,0,data/set 12/bridge/bridge042.jpg
train,bridge,0,data/set 12/bridge/bridge043.jpg
train,bridge,0,data/set 12/bridge/bridge044.jpg
train,bridge,0,data/set 12/bridge/bridge045.jpg
train,bridge,0,data/set 12/bridge/bridge046.jpg
train,bridge,0,data/set 12/bridge/bridge047.jpg
train,bridge,0,data/set 12/bridge/bridge048.jpg
train,bridge,0,data/set 12/bridge/bridge049.jpg
train,bridge,0,data/set 12/bridge/bridge050.jpg
train,bridge,0,data/set 12/bridge/bridge051.jpg
train,bridge,0,data/set 12/bridge/bridge052.jpg
train,bridge,0,data/set 12/bridge/bridge053.jpg
train,bridge,0,data/set 12/bridge/bridge054.jpg
train,bridge,0,data/set 12/bridge/bridge055.jpg
train,bridge,0,data/set 12/bridge/bridge056.jpg
train,bridge,0,data/set 12/bridge/bridge057.jpg
train,bridge,0,data/set 12/bridge/bridge058.jpg
train,bridge,0,data/set 12/bridge/bridge059.jpg
train,bridge,0,data/set 12/bridge/bridge060.jpg
train,bridge,0,data/set 12/bridge/bridge061.jpg
train,bridge,0,data/set 12/bridge/bridge062.jpg
train,bridge,0,data/set 12/bridge/bridge063.jpg
train,bridge,0,data/set 12/bridge/bridge064.jpg
train,bridge,0,data/set 12/bridge/bridge065.jpg
train,bridge,0,data/set 12/bridge/bridge066.jpg
train,bridge,0,data/set 12/bridge/bridge067.jpg
train,bridge,0,data/set 12/bridge/bridge068.jpg
train,bridge,0,data/set 12/bridge/bridge069.jpg
train,bridge,0,data/set 12/bridge/bridge070.jpg
train,bridge,0,data/set 12/bridge/bridge071.jpg
train,bridge,0,data/set 12/bridge/bridge072.jpg
train,bridge,0,data/set 12/bridge/bridge073.jpg
train,bridge,0,data/set 12/bridge/bridge074.jpg
train,bridge,0,data/set 12/bridge/bridge075.jpg
train,bridge,0,data/set 12/bridge/bridge076.jpg
train,bridge,0,data/set 12/bridge/bridge077.jpg
train,bridge,0,data/set 12/bridge/bridge078.jpg
train,bridge,0,data/set 12/bridge/bridge079.jpg
train,bridge,0,data/set 12/bridge/bridge080.jpg
train,bridge,0,data/set 12/bridge/bridge081.jpg
train,bridge,0,data/set 12/bridge/bridge082.jpg
train,bridge,0,data/set 12/bridge/bridge083.jpg
train,bridge,0,data/set 12/bridge/bridge084.jpg
train,bridge,0,data/set 12/bridge/bridge085.jpg
train,bridge,0,data/set 12/bridge/bridge086.jpg
train,bridge,0,data/set 12/bridge/bridge087.jpg
train,bridge,0,data/set 12/bridge/bridge088.jpg
train,bridge,0,data/set 12/bridge/bridge089.jpg
train,bridge,0,data/set 12/bridge/bridge090.jpg
train,bridge,0,data/set 12/bridge/bridge091.jpg
train,bridge,0,data/set 12/bridge/bridge092.jpg
train,bridge,0,data/set 12/bridge/bridge093.jpg
train,bridge,0,data/set 12/bridge/bridge094.jpg
train,bridge,0,data/set 12/bridge/bridge095.jpg
train,bridge,0,data/set 12/bridge/bridge096.jpg
train,bridge,0,data/set 12/bridge/bridge097.jpg
train,bridge,0,data/set 12/bridge/bridge098.jpg
train,bridge,0,data/set 12/bridge/bridge099.jpg
train,bridge,0,data/set 12/bridge/bridge100.jpg
train,bridge,0,data/set 12/bridge/bridge101.jpg
train,bridge,0,data/set 12/bridge/bridge102.jpg
train,bridge,0,data/set 12/bridge/bridge103.jpg
train,bridge,0,data/set 12/bridge/bridge104.jpg
train,bridge,0,data/set 12/bridge/bridge105.jpg
train,bridge,0,data/set 12/bridge/bridge106.jpg
train,bridge,0,data/set 12/bridge/bridge107.jpg
train,bridge,0,data/set 12/bridge/bridge108.jpg
train,bridge,0,data/set 12/bridge/bridge109.jpg
train,bridge,0,data/set 12/bridge/bridge110.jpg
train,bridge,0,data/set 12/bridge/bridge111.jpg
train,bridge,0,data/set 12/bridge/bridge112.jpg
train,bridge,0,data/set 12/bridge/bridge113.jpg
train,bridge,0,data/set 12/bridge/bridge114.jpg
train,bridge,0,data/set 12/bridge/bridge115.jpg
train,bridge,0,data/set 12/bridge/bridge116.jpg
train,bridge,0,data/set 12/bridge/bridge117.jpg
train,bridge,0,data/set 12/bridge/bridge118.jpg
train,bridge,0,data/set 12/bridge/bridge119.jpg
train,bridge,0,data/set 12/bridge/bridge120.jpg
train,bridge,0,data/set 12/bridge/bridge121.jpg
train,bridge,0,data/set 12/bridge/bridge122.jpg
train,bridge,0,data/set 12/bridge/bridge123.jpg
train,bridge,0,data/set 12/bridge/bridge124.jpg
train,bridge,0,data/set 12/bridge/bridge125.jpg
train,bridge,0,data/set 12/bridge/bridge126.jpg
train,bridge,0,data/set 12/bridge/bridge127.jpg
train,bridge,0,data/set 12/bridge/bridge128.jpg
train,bridge,0,data/set 12/bridge/bridge129.jpg
train,bridge,0,data/set 12/bridge/bridge130.jpg
train,bridge,0,data/set 12/bridge/bridge131.jpg
train,bridge,0,data/set 12/bridge/bridge132.jpg
train,bridge,0,data/set 12/bridge/bridge133.jpg
train,bridge,0,data/set 12/bridge/bridge134.jpg
train,bridge,0,data/set 12/bridge/bridge135.jpg
train,bridge,0,data/set 12/bridge/bridge136.jpg
train,bridge,0,data/set 12/bridge/bridge137.jpg
train,bridge,0,data/set 12/bridge/bridge138.jpg
train,bridge,0,data/set 12/bridge/bridge139.jpg
train,bridge,0,data/set 12/bridge/bridge140.jpg
train,bridge,0,data/set 12/bridge/bridge141.jpg
train,bridge,0,data/set 12/bridge/bridge142.jpg
train,bridge,0,data/set 12/bridge/bridge143.jpg
train,bridge,0,data/set 12/bridge/bridge144.jpg
train,bridge,0,data/set 12/bridge/bridge145.jpg
train,bridge,0,data/set 12/bridge/bridge146.jpg
train,bridge,0,data/set 12/bridge/bridge147.jpg
train,bridge,0,data/set 12/bridge/bridge148.jpg
